Carimbo de data/hora,Qual semestre você cursa?,Com que frequência você utiliza o CD-Moj?,Com que frequência você utiliza bot do telegram @Mojinho?,Quão fácil é localizar sua turma no CD-Moj?,Quão rápido o CD-Moj testa seu código? ,"Qual a sua dificuldade de interpretar o feedback da questão? e.g. WA, TLE, PE","Caso tenha usado o @Mojinho, Quão difícil é interpretar o log?",Quão difícil é achar o login certo para a lista que você quer fazer?,Você costuma trocar a senha das suas listas?,Você já perdeu o prazo de uma lista por falta de aviso? e.g. porque não conseguiu achar o tempo limite,Deixe seu comentário
21/04/2024 20:04:30,3° ou 4° semestre,2,1,1,2,1,,1,Não,Sim,
21/04/2024 20:04:31,5° ou 6° semestre,5,5,4,2,4,5,2,Não,Não,
21/04/2024 20:32:37,5° ou 6° semestre,5,2,2,3,3,1,2,Não,Não,
22/04/2024 11:16:43,7° ou 8° semestre,2,1,3,5,3,,2,Não,Não,
22/04/2024 11:18:50,7° ou 8° semestre,3,2,2,2,3,4,3,Não,Sim,
22/04/2024 11:18:58,5° ou 6° semestre,5,5,2,5,5,3,5,Não,Não,"Bom dms o CD-MOJ, o mojinho é como deveria ser. Único problema é achar minhas turmas"
22/04/2024 11:19:12,5° ou 6° semestre,3,2,3,3,2,4,3,Não,Sim,
22/04/2024 11:19:22,7° ou 8° semestre,2,2,3,2,2,2,2,Não,Não,
22/04/2024 11:22:28,5° ou 6° semestre,4,1,2,3,3,,2,Sim,Não,
22/04/2024 11:32:21,7° ou 8° semestre,3,1,2,2,1,1,1,Sim,Não,
22/04/2024 11:34:24,7° ou 8° semestre,3,1,1,5,3,,1,Não,Não,"Tá precisando de um redesign forte no MOJ, contratar um UX/UI, parece literalmente um projeto feito por alguém que nunca mexeu com frontend na vida."
22/04/2024 11:46:53,9° semestre ou superior,3,1,4,5,3,,2,Não,Não,
22/04/2024 11:47:54,7° ou 8° semestre,5,1,3,1,3,,2,Não,Não,
22/04/2024 12:24:00,5° ou 6° semestre,5,5,4,5,4,5,5,Não,Não,Ribas é o cara
22/04/2024 12:54:29,7° ou 8° semestre,5,5,4,3,5,3,5,Não,Não,
22/04/2024 13:23:52,7° ou 8° semestre,2,2,1,4,2,2,2,Não,Sim,Creio que quem projetou o frontend do MOJ foi um pouco leigo
22/04/2024 13:38:58,9° semestre ou superior,2,2,1,4,2,,3,Não,Sim,
